pkh-257-69,PKher,*haɳɖua,bamboo shoot,"munda1968proto[p. 69, SEAlang record 257]"
pkh-778-110,PKher,*haɽa,kind of tree,"munda1968proto[p. 110, SEAlang record 778]"
pkh-779-110,PKher,*haɽa,to disappear,"munda1968proto[p. 110, SEAlang record 779]"
pkh-1020-127,PKher,*haɽam,old,"munda1968proto[p. 127, SEAlang record 1020]"
pkh-1004-126,PKher,*haɽaʔ,to stumble,"munda1968proto[p. 126, SEAlang record 1004]"
pkh-995-126,PKher,*haɽhad,"bitter, hot","munda1968proto[p. 126, SEAlang record 995]"
pkh-930-121x2,PKher,*haɽub,to embrace,"munda1968proto[p. 121-2, SEAlang record 930]"
pkh-725-106,PKher,*haɽɡɔ̀ ~ *àɽɡɔ̀,to descend,"munda1968proto[p. 106, SEAlang record 725]"
pkh-1006-126,PKher,*haʈaʔ,winnowing fan,"munda1968proto[p. 126, SEAlang record 1006]"
pkh-1490-156,PKher,*hili,elder sister-in-law,"munda1968proto[p. 156, SEAlang record 1490]"
pkh-none-55,PKher,*hira,to visit,munda1968proto[p. 55]
pkh-58-55,PKher,*hirci ~ *ìrcì,to sprinkle,"munda1968proto[p. 55, SEAlang record 58]"
pkh-39-53,PKher,*hirɔ̀m,co-wife,"munda1968proto[p. 53, SEAlang record 39]"
pkh-59-55,PKher,*hisi ~ *ìsì,twenty,"munda1968proto[p. 55, SEAlang record 59]"
pkh-26-52,PKher,*hita ~ *ìtà,seed,"munda1968proto[p. 52, SEAlang record 26]"
pkh-52-54,PKher,*hiŋɡuɽ,to hit,"munda1968proto[p. 54, SEAlang record 52]"
pkh-67-56,PKher,*hiɲɟi(d),to drain,"munda1968proto[p. 56, SEAlang record 67]"
pkh-76-56,PKher,*hiɽiɲ ~ hiɽiŋ,to forget,"munda1968proto[p. 56, SEAlang record 76]"
pkh-195-64,PKher,*huaŋ,ditch,"munda1968proto[p. 64, SEAlang record 195]"
pkh-191-64,PKher,*hucaʔ,to break,"munda1968proto[p. 64, SEAlang record 191]"
pkh-175-63,PKher,*hudma,to throw,"munda1968proto[p. 63, SEAlang record 175]"
pkh-191-64x2,PKher,*hulaʔ,to break,"munda1968proto[p. 64-2, SEAlang record 191]"
pkh-162-62,PKher,*husid,to catch,"munda1968proto[p. 62, SEAlang record 162]"
pkh-127-60,PKher,*husid,to scrape,"munda1968proto[p. 60, SEAlang record 127]"
pkh-121-59,PKher,*huti,kind of insect,"munda1968proto[p. 59, SEAlang record 121]"
pkh-226-67,PKher,*hutum,to rinse mouth,"munda1968proto[p. 67, SEAlang record 226]"
pkh-164-62,PKher,*huɖiɲ ~ *huɖiŋ,small,"munda1968proto[p. 62, SEAlang record 164]"
pkh-232-67,PKher,*huɽuŋ,to pound,"munda1968proto[p. 67, SEAlang record 232]"
pkh-167-62,PKher,*huʈàr,kind of flower,"munda1968proto[p. 62, SEAlang record 167]"
pkh-1175-137,PKher,*hàɳɖɛd,to shut,"munda1968proto[p. 137, SEAlang record 1175]"
pkh-329-76,PKher,*hùpù,kind of tree,"munda1968proto[p. 76, SEAlang record 329]"
pkh-339-76,PKher,*hùɽù,paddy,"munda1968proto[p. 76, SEAlang record 339]"
pkh-514-90,PKher,*hɔd,to comb,"munda1968proto[p. 90, SEAlang record 514]"
pkh-594-95,PKher,*hɔjɔ,to shave,"munda1968proto[p. 95, SEAlang record 594]"
pkh-557-93,PKher,*hɔla,yesterday,"munda1968proto[p. 93, SEAlang record 557]"
