Row,Language_ID,Form,Gloss,Phonemic,Parameter_ID,Evidence_Language_ID,Evidence_Form,Basis
2652,Hussainabad,muŋpʰʌˈli,groundnut,muŋpʰɜˈli,10198,NagarThol,muŋpʰʌˈli,same gloss + exact normalized phonemic form (stress ignored)
2653,Murtazabad,mumpʰʌˈli,groundnut,mumpʰɜˈli,10198,Darel,mumˈpʰʌli,same gloss + exact normalized phonemic form (stress ignored)
2654,Haiderabad,mumpʰʌˈli,groundnut,mumpʰɜˈli,10198,Darel,mumˈpʰʌli,same gloss + exact normalized phonemic form (stress ignored)
2655,Ganish,mumpʰʌˈli,groundnut,mumpʰɜˈli,10198,Darel,mumˈpʰʌli,same gloss + exact normalized phonemic form (stress ignored)
2656,NazimabadUpperSust,mumpʰʌˈli,groundnut,mumpʰɜˈli,10198,Darel,mumˈpʰʌli,same gloss + exact normalized phonemic form (stress ignored)
2657,UyumNagar,mumpʰʌˈli,groundnut,mumpʰɜˈli,10198,Darel,mumˈpʰʌli,same gloss + exact normalized phonemic form (stress ignored)
2658,Hoper,mumpʰʌˈli,groundnut,mumpʰɜˈli,10198,Darel,mumˈpʰʌli,same gloss + exact normalized phonemic form (stress ignored)
2659,YasinCenter,mumpʰʌˈli,groundnut,mumpʰɜˈli,10198,Darel,mumˈpʰʌli,same gloss + exact normalized phonemic form (stress ignored)
2660,ThuiYasin,mumpʰʌˈli,groundnut,mumpʰɜˈli,10198,Darel,mumˈpʰʌli,same gloss + exact normalized phonemic form (stress ignored)
2666,UyumNagar,ˈmɑruč,chili,ˈmɑr̪utɕ,9875,Rondu,ˈmɑruč,same gloss + exact normalized phonemic form (stress ignored)
2673,Ganish,hɑˈlič̣i,turmeric,hɑˈliʈʂi,13992,Punial,hɑˈlič̣i,same gloss + exact normalized phonemic form (stress ignored)
2674,NazimabadUpperSust,hɑˈlič̣i,turmeric,hɑˈliʈʂi,13992,Punial,hɑˈlič̣i,same gloss + exact normalized phonemic form (stress ignored)
2675,UyumNagar,hɑˈlič̣i,turmeric,hɑˈliʈʂi,13992,Punial,hɑˈlič̣i,same gloss + exact normalized phonemic form (stress ignored)
2676,Hoper,hɑˈlič̣i,turmeric,hɑˈliʈʂi,13992,Punial,hɑˈlič̣i,same gloss + exact normalized phonemic form (stress ignored)
2698,Murtazabad,gobi,cauliflower,gobi,4270,NagarThol,goˈbi,same gloss + exact normalized phonemic form (stress ignored)
2699,Haiderabad,gobi,cauliflower,gobi,4270,NagarThol,goˈbi,same gloss + exact normalized phonemic form (stress ignored)
2702,UyumNagar,gobi,cauliflower,gobi,4270,NagarThol,goˈbi,same gloss + exact normalized phonemic form (stress ignored)
2713,YasinCenter,bɑˈlugun,tomato,bɑˈlugun̪,11503,Gahorabad,bɑlugun,same gloss + exact normalized phonemic form (stress ignored)
