Status,Reason,PDF_Page,Printed_Page,Entry,Raw_Form_POS,Form,POS,Definition,Mean_Confidence,Low_Confidence_Tokens,Entry_Key,Emitted_Keys,Rejected_Forms,Review_Flags
ocr_unreviewed,source transcription requires human verification,147,139,14,ubavne N.,ubavne,N.,sweat.,82.53,,ghatage-kasargod1970:p139:e14,ghatage-kasargod1970:p139:e14,,
ocr_unreviewed,source transcription requires human verification,147,139,15,ube Adj.,ube,Adj.,vertical.,90.04,,ghatage-kasargod1970:p139:e15,ghatage-kasargod1970:p139:e15,,
ocr_unreviewed,source transcription requires human verification,147,139,16,ubero:vu V.,ubero:vu,V.,to stand.,91.30,,ghatage-kasargod1970:p139:e16,ghatage-kasargod1970:p139:e16,,
ocr_unreviewed,source transcription requires human verification,147,139,17,umbəli V.,umbəli,V.,to root out.,81.02,umbəli,ghatage-kasargod1970:p139:e17,ghatage-kasargod1970:p139:e17,,low-confidence
ocr_unreviewed,source transcription requires human verification,147,139,18,umbura M.,umbura,M.,threshold.,93.51,,ghatage-kasargod1970:p139:e18,ghatage-kasargod1970:p139:e18,,
ocr_unreviewed,source transcription requires human verification,147,139,19,uyyele N.,uyyele,N.,swing.,88.61,,ghatage-kasargod1970:p139:e19,ghatage-kasargod1970:p139:e19,,
ocr_unreviewed,source transcription requires human verification,147,139,20,uru: ti N.,uru: ti,N.,circle.,66.15,uru: | ti,ghatage-kasargod1970:p139:e20,ghatage-kasargod1970:p139:e20,,low-confidence
ocr_unreviewed,source transcription requires human verification,147,139,21,urou V.,urou,V.,to save.,95.54,,ghatage-kasargod1970:p139:e21,ghatage-kasargod1970:p139:e21,,
ocr_unreviewed,source transcription requires human verification,147,139,22,urləpi V.,urləpi,V.,to roll.,94.06,,ghatage-kasargod1970:p139:e22,ghatage-kasargod1970:p139:e22,,
verified,Recovered the central high vowel and POS from the source image.,147,139,23,uluči „Ady.,ulučɨ,Adv.,slowly.,63.08,uluči,ghatage-kasargod1970:p139:e23,ghatage-kasargod1970:p139:e23,,low-confidence human-corrected
ocr_unreviewed,source transcription requires human verification,147,139,24,uša:ri Adj.,uša:ri,Adj.,"clever, brave.",92.98,,ghatage-kasargod1970:p139:e24,ghatage-kasargod1970:p139:e24,,
ocr_unreviewed,source transcription requires human verification,147,139,25,ušņu Adj.,ušņu,Adj.,warm.,94.05,,ghatage-kasargod1970:p139:e25,ghatage-kasargod1970:p139:e25,,
ocr_unreviewed,source transcription requires human verification,147,139,26,uslou V.,uslou,V.,to be rash.,94.87,,ghatage-kasargod1970:p139:e26,ghatage-kasargod1970:p139:e26,,
verified,Recovered a head whose letters were completely misclassified by OCR.,147,139,27,Utis,u:ṭɨ,V.,to rise.,62.37,Utis,ghatage-kasargod1970:p139:e27,ghatage-kasargod1970:p139:e27,,low-confidence human-corrected
ocr_unreviewed,source transcription requires human verification,147,139,28,u:ņu Adj.,u:ņu,Adj.,hot.,92.09,,ghatage-kasargod1970:p139:e28,ghatage-kasargod1970:p139:e28,,
ocr_unreviewed,source transcription requires human verification,147,139,29,u:mpi V.,u:mpi,V.,to sow.,93.68,,ghatage-kasargod1970:p139:e29,ghatage-kasargod1970:p139:e29,,
ocr_unreviewed,source transcription requires human verification,147,139,30,ekləł Adj.,ekləł,Adj.,alone.,66.08,ekləł,ghatage-kasargod1970:p139:e30,ghatage-kasargod1970:p139:e30,,low-confidence
ocr_unreviewed,source transcription requires human verification,147,139,31,ejjirt Ady.,ejjirt,Adj.,loudly.,71.41,Ady.,ghatage-kasargod1970:p139:e31,ghatage-kasargod1970:p139:e31,,low-confidence
ocr_unreviewed,source transcription requires human verification,147,139,32,e:kt Nu.,e:kt,Nu.,one.,77.68,e:kt,ghatage-kasargod1970:p139:e32,ghatage-kasargod1970:p139:e32,,low-confidence
verified,The initial e: was a lexical vowel and not a leaked POS marker.,147,139,33,e: kikuli,e:kɨkuli,,one by one.,73.38,e: | kikuli,ghatage-kasargod1970:p139:e33,ghatage-kasargod1970:p139:e33,,low-confidence human-corrected
ocr_unreviewed,source transcription requires human verification,147,139,34,e:ņi F.,e:ņi,F.,braid of hair.,92.92,,ghatage-kasargod1970:p139:e34,ghatage-kasargod1970:p139:e34,,
ocr_unreviewed,source transcription requires human verification,147,139,35,e:pli N.,e:pli,N.,apple.,89.73,,ghatage-kasargod1970:p139:e35,ghatage-kasargod1970:p139:e35,,
ocr_unreviewed,source transcription requires human verification,147,139,36,oggațți,oggațți,,together.,83.67,,ghatage-kasargod1970:p139:e36,ghatage-kasargod1970:p139:e36,,
ocr_unreviewed,source transcription requires human verification,147,139,37,oggarņe ga:li V.,oggarņe ga:li,V.,to pulvorise.,86.34,,ghatage-kasargod1970:p139:e37,ghatage-kasargod1970:p139:e37,,
ocr_unreviewed,source transcription requires human verification,147,139,38,orpodi V.,orpodi,V.,to attack.,87.63,,ghatage-kasargod1970:p139:e38,ghatage-kasargod1970:p139:e38,,
ocr_unreviewed,source transcription requires human verification,148,140,1,olənti F.,olənti,F.,wall.,90.16,,ghatage-kasargod1970:p140:e1,ghatage-kasargod1970:p140:e1,,
ocr_unreviewed,source transcription requires human verification,148,140,2,o:i,o:i,,yes.,83.30,,ghatage-kasargod1970:p140:e2,ghatage-kasargod1970:p140:e2,,
ocr_unreviewed,source transcription requires human verification,148,140,3,kəttamalkari. N.,kəttamalkari.,N.,a kind of serpent.,66.99,kəttamalkari. | kind,ghatage-kasargod1970:p140:e3,ghatage-kasargod1970:p140:e3,,low-confidence
