CDIAL,Gloss,KS,RL,MH,TH,SH,RP,BH,BN
,"joy, happiness",kʰusi,kʰusi,kʰusi,,kʰuʃi,,kʰuʃi,kʰusi
3917,straw (long dry grass),kʰɛr,,kʰer-i,kʰer,kʰɛr,"kʰær, kʰæɽ",kʰɛr,kʰer
3735,field,kʰɛt̪,kʰɛt̪,kʰɛt̪,,kʰɛt̪,kʰæt̪,,kʰetiβari
,"sorrow, grief",,,kʰed̪,,,kʰed̪,kʰɛt̪,
3927,"cave, cavity",kʰo,,,,,,kʰokor,kʰokɔr
3941,"lame, crippled",,,,,,"kʰora, kʰoɽa",,kʰora
,nest,kʰot̪a,kʰot̪a,"kʰont̪a, kʰot̪a",,,,,
3943,skull,,,"kʰolka, kʰulʈi, kʰolʈa",,"kʰolʈa, kʰolɽa",kʰuli,,lau-xula
4131,"smell, scent",gʌn,gʌn,gʌnd̪ʱʌ,gɔnd̪̤ʰo,,gɔnd̪o,gɔnd̪o,"gɔndʱɔ, kɔndʱɔ"
4022,talk,,gʌp,"gʌɸ, gʌp",,,,,
4316,cow-dung,gʌwər,gʌwʌr,,gɔbor,,gɔbor,gɔwor,"gobɔr, kowɔr"
,warm (weather),gərəm,gʌrʌm,gʌrʌm,gɔrom,"gɔrɔm, gɔrom",gɔrom,gɔrom,"gɔrɔm, korɔm"
,poor (person without means),gʌrib,,gʌrib,gorip,gorip,gɔrib,gorib,"gorib, korib"
,neck,gərd̪ʱən,,gad̪nʱa,gurd̪a,gɔd̪ʱona,"gɔrd̪on, gɔd̪d̪an",,"goldʱɔn, koldʱɔn"
4472,neck,,gʱɛʧa,,,,,,
,"error, mistake",gəlt̪i,gʌlt̪i,gʌlt̪i,,,,,
4287,wheat,gʌm,gʌhʌm,gʌhʌm,gɔhom,gɔm,gõ,gom,gɔm
4024,deep (lake),gəhra,gʌhir,gʌhira,,,,gohin,"gobʱir, kobʱir"
3949,tree,gaʧ,gaʧʰ,gaʧʰ,gaʧ,gɔs,"gʷɔs, gaʦ",gɔʦʰ,"gas, gɔs"
4140,carrot,gaʤər,gazʌr,gazʌr,gaʤor,gazɔr,gaʣor,gaʣor,"gazɔr, kazɔr"
4116,"vehicle, wagon",gari,gaɽi,gari,gaɽʱi,gaɽi,gari,"gaɽi, gari","gari, kari"
,dirty,gənd̪a,gənd̪a,gənd̪a,,,,,
4057,"young, youthful",,,,,gaβur,,"gaβur, kaβur",
,wide mouthed jar or pot,,,,gamla,,gamla,,
4147,cow,gaj,gãj,gaj,gaj,gaj,gaj,gaj,"gaj-ɣoru, kaj-ɣoru"
4089,cheek,gal,gal,gal,gal,gal,"gal, gaɻ",gal,"gal, kal"
4070,throat,gəla,,gala,,gala,gala,gala,"gola, kola"
4124,body,,,,,,gaw,gaw,
