item,pdf_page,printed_page,form,morphology,gloss,etymology,raw_entry
671,212,198,bhesn,"n., fem. (bhe:ne:)",sister,"(G. bahen, ben >9349)","bhesn, n., fem. (bhe:ne:) — sister (G. bahen, ben >9349)"
672,212,198,bheiliyo,"n., mas",(bhe:liya:) — servant,,"bheiliyo:, n., mas. - (bhe:liya:) — servant"
673,212,198,bhenbha:y,"n., neut",sisters and brothers,,"bhenbha:y, n., neut. ~ sisters and brothers"
674,212,198,bhendikaylo,"n., neut",vezetable,,"bhendikaylo:, n., neut. — vezetable"
675,212,198,bhaday,"n., neut",shop,,"bhaday, n., neut. — shop"
676,213,199,bhaval,"no., neut",giddyness,,"bhaval, no., neut. — giddyness"
677,213,199,bhayarak,"n., neut",a hole on the earth,,"bhayarak, n., neut. — a hole on the earth"
678,213,199,dbhali. n-,neut,offering,(N. A. B. bali ¥9171),"dbhali. n-, neut. ~ offering (N. A. B. bali ¥9171)"
679,213,199,bhara:hbati,"o., neut",bottles containing intoxicant drinks,,"bhara:hbati, o., neut. — bottles containing intoxicant drinks"
680,213,199,bhar,"v., nc",Sil,(H. G. bhar 9393),"bhar, v., nc., — Sil (H. G. bhar 9393)"
681,213,199,bhayru,"n., neut",deaf,(G. bahiro %9130),"bhayru, n., neut. - deaf (G. bahiro %9130)"
682,213,199,bhayla:y,"v., 0c",keep,,"bhayla:y, v., 0c. — keep"
683,213,199,bhayé,"n., mas., pl",brothers,(G. dbhavi),"bhayé, n., mas., pl. — brothers (G. dbhavi)"
684,213,199,dha: ji,"n., neut",greens,(G. bha: ji),"dha: ji, n., neut. — greens (G. bha: ji)"
685,213,199,bha:vdu,"n., neut",shoulder,,"bha:vdu, n., neut. — shoulder"
686,213,199,bha:man,"u., mas",brahmin,(S. brachmana »9325),"bha:man, u., mas. - brahmin (S. brachmana »9325)"
687,213,199,bhazy,"n-, mas. (bh@yé:)",brother,(G. bha:i >9661),"bhazy, n-, mas. (bh@yé:) - brother (G. bha:i >9661)"
688,213,199,bhutsz,"n., neut",shoulder,,"bhutsz, n., neut. — shoulder"
689,213,199,bhu:ka:v,"v., ©",cause to cry,,"bhu:ka:v, v., © — cause to cry"
