unit|region|pdf_page|form|gloss|context
t16:1:sg|t16|20|šii|house|number=sg; printed=šii
t16:1:pl|t16|20|šii|house|number=pl; printed=šii
t16:2:sg|t16|20|theer|hand|number=sg; printed=theer
t16:2:pl|t16|20|theer|hand|number=pl; printed=theer
t16:3:sg|t16|20|dra|brother|number=sg; printed=dra
t16:3:pl|t16|20|dra-i|brother|number=pl; printed=dra-i
t16:4:sg|t16|20|puu|boy, son|number=sg; printed=puu
t16:4:pl|t16|20|lärkoor|boy, son|number=pl; printed=lärkoor, lukuṭoor
t16:4:pl:a2|t16|20|lukuṭoor|boy, son|number=pl; printed=lärkoor, lukuṭoor
t16:5:sg|t16|20|pee|girl, daughter|number=sg; printed=pee
t16:5:pl|t16|20|lärkeer|girl, daughter|number=pl; printed=lärkeer
t16:6:sg|t16|20|meeš|man|number=sg; printed=meeš
t16:6:pl|t16|20|mišaal|man|number=pl; printed=mišaal, xäläq
t16:6:pl:a2|t16|20|xäläq|man|number=pl; printed=mišaal, xäläq
t16:7:sg|t16|20|treer|woman|number=sg; printed=treer
t16:7:pl|t16|20|triyaal|woman|number=pl; printed=triyaal
t16:8:sg|t16|20|ḍakṭar|doctor|number=sg; printed=ḍakṭar
t16:8:pl|t16|20|ḍakṭar-aan|doctor|number=pl; printed=ḍakṭar-aan
t16:9:sg|t16|20|tarkaaṇ|carpenter|number=sg; printed=tarkaaṇ
t16:9:pl|t16|20|tarkaaṇ-aan|carpenter|number=pl; printed=tarkaaṇ-aan
t17:l-verb:non-perfective|t17|22|trap-|run|verb_class=l-verb; stem=Non-perfective stem
t17:t-verb:non-perfective|t17|22|dä-|give|verb_class=t-verb; stem=Non-perfective stem
t17:suppletive:non-perfective|t17|22|päš-|see|verb_class=suppletive; stem=Non-perfective stem
t17:l-verb:perfective|t17|22|trapil-|run|verb_class=l-verb; stem=Perfective stem
t17:t-verb:perfective|t17|22|dit-|give|verb_class=t-verb; stem=Perfective stem
t17:suppletive:perfective|t17|22|driṣ-|see|verb_class=suppletive; stem=Perfective stem
t18:msg|t18|23|biš-uun|is/are sitting down|agreement=MSG; palula=bheš-áan-u; sawi=beeš-aan-oo
t18:mpl|t18|23|biš-aan|is/are sitting down|agreement=MPL; palula=bheš-áan-a; sawi=beeš-aan-ee
t18:fsg|t18|23|biš-iin|is/are sitting down|agreement=FSG; palula=bheš-éen-i; sawi=beeš-aa[ɛː]n-i
t18:fpl|t18|23|biš-iin|is/are sitting down|agreement=FPL; palula=bheš-éen-im; sawi=beeš-aa[ɛː]n-e
t19:1|t19|24|äsil|laughed|printed=äsil; palula=hansíl-u; sawi=hansil-oo
t19:2|t19|24|dooyil|milked|printed=dooyil; palula=dhowíl-i; sawi=dhoyil-i
t19:3|t19|24|khaal|ate|printed=khaal; palula=khóol-u; sawi=khol-oo
t19:4|t19|24|yaal|came|printed=yaal, yeel; palula=yhóol-u, yhéel-i; sawi=(w)ol-oo, wol-i
t19:4:a2|t19|24|yeel|came|printed=yaal, yeel; palula=yhóol-u, yhéel-i; sawi=(w)ol-oo, wol-i
t19:5|t19|24|dit|gave|printed=dit; palula=dit-u; sawi=dit-oo
t19:6|t19|24|nikhät|came out|printed=nikhät; palula=nikháat-u; sawi=nikhaat-u
t19:7|t19|24|čhoon|put|printed=čhoon; palula=čhúuṇ-u; sawi=č(h)uṇ-u
t19:8|t19|24|driṣ|saw|printed=driṣ; palula=dhríṣṭ-u; sawi=darṣ-oo
t19:9|t19|24|ɡoo|went|printed=ɡoo, ɡee; palula=ɡúum, ɡíi; sawi=ɡoo, ɡeei
t19:9:a2|t19|24|ɡee|went|printed=ɡoo, ɡee; palula=ɡúum, ɡíi; sawi=ɡoo, ɡeei
t11:1:ii|t11|11|/tiːn/|sharp|vowel=ii
t11:1:i|t11|11|/tɪn(d)/|navel|vowel=i
t11:1:ee|t11|11|/peːt(r)/|son’s daughter|vowel=ee
t11:1:ä|t11|11|/dɛr/|door|vowel=ä
t11:1:ää|t11|11|/dæːr/|husband’s brother|vowel=ää
t11:2:uu|t11|11|/duːr/|far|vowel=uu
t11:2:u|t11|11|/dʊr/|dust|vowel=u
t11:2:oo|t11|11|/poːt(r)/|son’s son|vowel=oo
t11:2:a|t11|11|/nɔŋ(ɡ)/|fingernail|vowel=a
t11:2:aa|t11|11|/nɑːŋ(ɡ)/|snake|vowel=aa
t12:1:1|t12|15|/sær/|lake|melody=1; melody_name=high level
t12:1:2|t12|15|/pɑːnd/|path|melody=1; melody_name=high level
t12:1:3|t12|15|/kɑːn/|ear|melody=1; melody_name=high level
t12:1:4|t12|15|/ɡɑː/|cow|melody=1; melody_name=high level
t12:1:5|t12|15|/rɑːt/|blood|melody=1; melody_name=high level
t12:1:6|t12|15|/tɔm/|tree|melody=1; melody_name=high level
t12:1:7|t12|15|/dɑːn/|tooth|melody=1; melody_name=high level
t12:1:8|t12|15|/ʂiʂ/|head|melody=1; melody_name=high level
t12:2:1|t12|15|/dut/|lip|melody=2; melody_name=low level
t12:2:2|t12|15|/ɡoːm/|wheat|melody=2; melody_name=low level
t12:2:3|t12|15|/kʰoːr/|left|melody=2; melody_name=low level
t12:2:4|t12|15|/ɡɑː/|grass|melody=2; melody_name=low level
t12:2:5|t12|15|/rɑːt/|night|melody=2; melody_name=low level
t12:2:6|t12|15|/ɖæːr/|belly|melody=2; melody_name=low level
t12:2:7|t12|15|/bæːn/|sister|melody=2; melody_name=low level
t12:2:8|t12|15|/im/|snow|melody=2; melody_name=low level
t12:3:1|t12|15|/ɡoː(ʔ)r/|horse|melody=3; melody_name=low-rising
t12:3:2|t12|15|/pʰeː(ʔ)p/|father’s sister|melody=3; melody_name=low-rising
t12:3:3|t12|15|/ʨʰeː(ʔ)l/|goat|melody=3; melody_name=low-rising
t12:3:4|t12|15|/kʰeː(ʔ)r/|field|melody=3; melody_name=low-rising
t12:3:5|t12|15|/duː(ʔ)r/|far away|melody=3; melody_name=low-rising
t12:4:1|t12|15|/dri(ʔ)ɡ/|tall, long|melody=4; melody_name=high-rising
t12:4:2|t12|15|/tɑː(ʔ)r/|star|melody=4; melody_name=high-rising
t12:4:3|t12|15|/bɑː(ʔ)l/|hair|melody=4; melody_name=high-rising
t12:4:4|t12|15|/dɑː(ʔ)d/|father’s father|melody=4; melody_name=high-rising
t12:4:5|t12|15|/deː(ʔ)d/|father’s mother|melody=4; melody_name=high-rising
t12:4:6|t12|15|/dæː(ʔ)r/|husband’s brother|melody=4; melody_name=high-rising
t12:4:7|t12|15|/ku(ʔ)ʈ/|knee|melody=4; melody_name=high-rising
t12:4:8|t12|15|/poː(ʔ)tr/|son’s son|melody=4; melody_name=high-rising
t12:5:1|t12|15|/ɕɑːk/|wood|melody=5; melody_name=high-falling
t12:5:2|t12|15|/neːr/|root|melody=5; melody_name=high-falling
t12:5:3|t12|15|/puː/|son|melody=5; melody_name=high-falling
t20:1|t20|25|čuṇ-uun|is writing|category=Present Imperfective; aspect=imperfective; tense=unmarked
t20:2|t20|25|b-uun|is going|category=Present Imperfective; aspect=imperfective; tense=unmarked
t20:3|t20|25|čuṇ-uun-s|was writing|category=Past Imperfective; aspect=imperfective; tense=marked
t20:4|t20|25|b-uun-s|was going|category=Past Imperfective; aspect=imperfective; tense=marked
t20:5|t20|25|čuṇil|wrote|category=Simple Past; aspect=perfective; tense=unmarked
t20:6|t20|25|ɡoo|went|category=Simple Past; aspect=perfective; tense=unmarked
t20:7|t20|25|čuṇi(l)-s|had written|category=Pluperfect; aspect=perfective; tense=marked
t20:8|t20|25|ɡoo-s|had gone|category=Pluperfect; aspect=perfective; tense=marked
ex1:1:1|interlinear|18|tu|you(SG)|example=1; language=Kalk; translation=Can you see him?
ex1:1:2|interlinear|18|räs|him|example=1; language=Kalk; translation=Can you see him?
ex1:1:3|interlinear|18|päš|see|example=1; language=Kalk; translation=Can you see him?
ex1:1:4|interlinear|18|b-uun=ää|be.able.to-IPFV.MSG=Q|example=1; language=Kalk; translation=Can you see him?
ex2:1:1|interlinear|18|biyaal|yesterday|example=2; language=Kalk; translation=Did he see you yesterday?
ex2:1:2|interlinear|18|tä|he|example=2; language=Kalk; translation=Did he see you yesterday?
ex2:1:3|interlinear|18|tu|you(SG)|example=2; language=Kalk; translation=Did he see you yesterday?
ex2:1:4|interlinear|18|dris=ää|see.PFV.PST=Q|example=2; language=Kalk; translation=Did he see you yesterday?
ex3:1:1|interlinear|19|mi|my|example=3; language=Kalk; translation=This tooth of mine hurts badly.
ex3:1:2|interlinear|19|un|this|example=3; language=Kalk; translation=This tooth of mine hurts badly.
