Role,Entry_Key,Parent_Key,Form,Language_IDs,POS,Gloss,Etymology,PDF_Page,Printed_Page
subentry,bashir:khowar:b06abb37f3:subentry:2,bashir:khowar:b06abb37f3,ṣustéku,Kho-Bashir-src-swka,n,person from Shuist,Subentry of ṣuíst,142,129
head,bashir:khowar:aa52359837,,ṣung,Kho-Bashir-src-swka|Kho-Bashir-src-mnn,adv,intensifier used with ṣa,,142,129
head,bashir:khowar:92cfaf477c,,ṣung dik,Kho-Bashir-src-rakr,tr verb,to pierce,,142,129
head,bashir:khowar:c4e2030d02,,ṣungaṣángi čhorburǰá,Kho-Bashir-src-mnn,n,trapezoid,,142,129
head,bashir:khowar:d85abe1b21,,ṣur,Kho-Bashir-src-mnn,adj,crooked,,142,129
head,bashir:khowar:e98c290c2d,,ṣurá,Kho-Bashir-src-rakr,n,salt (chemical sense),,142,129
head,bashir:khowar:399032a778,,ṣuṣk,Kho-Bashir-src-swka|Kho-Bashir-src-if|Kho-Bashir-src-tmf|Kho-Bashir-src-ma,n,"clay soil used to write on a slate, light red in color",,142,129
variant,bashir:khowar:399032a778:variant:1,bashir:khowar:399032a778,huṣk,Kho-Bashir-src-swka|Kho-Bashir-src-if|Kho-Bashir-src-tmf|Kho-Bashir-src-ma|Kho-Bashir-reg-laspur,n,"clay soil used to write on a slate, light red in color",Other pronunciation of ṣuṣk: huṣk (in Laspur),142,129
head,bashir:khowar:7b66e7dd77,,ṣuzt,Kho-Bashir-src-mys,n,village in Yarkhun,,142,129
head,bashir:khowar:08697e56c3,,-t,Kho-Bashir-src-mnn,,to,,142,129
variant,bashir:khowar:08697e56c3:variant:1,bashir:khowar:08697e56c3,te,Kho-Bashir-src-mnn,,to,"Other pronunciation of -t: -te, -ten, -tene",142,129
variant,bashir:khowar:08697e56c3:variant:2,bashir:khowar:08697e56c3,ten,Kho-Bashir-src-mnn,,to,"Other pronunciation of -t: -te, -ten, -tene",142,129
variant,bashir:khowar:08697e56c3:variant:3,bashir:khowar:08697e56c3,tene,Kho-Bashir-src-mnn,,to,"Other pronunciation of -t: -te, -ten, -tene",142,129
head,bashir:khowar:e58ab5591f,,taám,Kho-Bashir-src-mnn,n,rich food,"[< Ar., Prs.]",142,129
variant,bashir:khowar:e58ab5591f:variant:1,bashir:khowar:e58ab5591f,tahám,Kho-Bashir-src-mnn,n,rich food,Other pronunciation of taám: tahám (RKB),142,129
