LSI-PASHAIEASTERN,,panj,Five,,pʌn̪dʒ,,"grierson-lsi1928[p. 10-11, form PASHAIEASTERN-5_five-1, concept 5_five]",,,grierson-lsi1928:PASHAIEASTERN-5_five-1,,,,
LSI-PASHAIWESTERN,,panj,Five,,pʌn̪dʒ,,"grierson-lsi1928[p. 10-11, form PASHAIWESTERN-5_five-1, concept 5_five]",,,grierson-lsi1928:PASHAIWESTERN-5_five-1,,,,
LSI-KHOWARORCHITRALI,,pōnj,Five,,poːn̪dʒ,,"grierson-lsi1928[p. 10-11, form KHOWARORCHITRALI-5_five-1, concept 5_five]",,,grierson-lsi1928:KHOWARORCHITRALI-5_five-1,,,,
LSI-SHINAGILGITI,,puš,Five,,puʃ,,"grierson-lsi1928[p. 10-11, form SHINAGILGITI-5_five-1, concept 5_five]",,,grierson-lsi1928:SHINAGILGITI-5_five-1,,,,
LSI-SHINAGILGITI,,pōĩ,Five,,poːĩ,,"grierson-lsi1928[p. 10-11, form SHINAGILGITI-5_five-2, concept 5_five]",,,grierson-lsi1928:SHINAGILGITI-5_five-2,,,,
LSI-CHILASI,,puš,Five,,puʃ,,"grierson-lsi1928[p. 10-11, form CHILASI-5_five-1, concept 5_five]",,,grierson-lsi1928:CHILASI-5_five-1,,,,
LSI-CHILASIOFDRAS,,pō̃š,Five,,põːʃ,,"grierson-lsi1928[p. 10-11, form CHILASIOFDRAS-5_five-1, concept 5_five]",,,grierson-lsi1928:CHILASIOFDRAS-5_five-1,,,,
LSI-CHILASIOFDAHHANU,,pũš,Five,,pũʃ,,"grierson-lsi1928[p. 10-11, form CHILASIOFDAHHANU-5_five-1, concept 5_five]",,,grierson-lsi1928:CHILASIOFDAHHANU-5_five-1,,,,
LSI-KASHMIRI,,pönṯs̱,Five,,pøn̪ts,,"grierson-lsi1928[p. 10-11, form KASHMIRI-5_five-1, concept 5_five]",,,grierson-lsi1928:KASHMIRI-5_five-1,,,,
LSI-KASHTAWARI,,panṯs̱,Five,,pʌn̪ts,,"grierson-lsi1928[p. 10-11, form KASHTAWARI-5_five-1, concept 5_five]",,,grierson-lsi1928:KASHTAWARI-5_five-1,,,,
LSI-KASHTAWARI,,panz,Five,,pʌn̪z,,"grierson-lsi1928[p. 10-11, form KASHTAWARI-5_five-2, concept 5_five]",,,grierson-lsi1928:KASHTAWARI-5_five-2,,,,
LSI-POGULI,,pā̃ṯs̱,Five,,pãːts,,"grierson-lsi1928[p. 10-11, form POGULI-5_five-1, concept 5_five]",,,grierson-lsi1928:POGULI-5_five-1,,,,
LSI-DODASIRAJI,,pānṯs̱,Five,,pʌːn̪ts,,"grierson-lsi1928[p. 10-11, form DODASIRAJI-5_five-1, concept 5_five]",,,grierson-lsi1928:DODASIRAJI-5_five-1,,,,
LSI-RAMBANI,,panj,Five,,pʌn̪dʒ,,"grierson-lsi1928[p. 10-11, form RAMBANI-5_five-1, concept 5_five]",,,grierson-lsi1928:RAMBANI-5_five-1,,,,
LSI-RAMBANI,,panṯs̱,Five,,pʌn̪ts,,"grierson-lsi1928[p. 10-11, form RAMBANI-5_five-2, concept 5_five]",,,grierson-lsi1928:RAMBANI-5_five-2,,,,
LSI-KOHISTANIGARWI,,panj,Five,,pʌn̪dʒ,,"grierson-lsi1928[p. 10-11, form KOHISTANIGARWI-5_five-1, concept 5_five]",,,grierson-lsi1928:KOHISTANIGARWI-5_five-1,,,,
LSI-TORWALI,,panj,Five,,pʌn̪dʒ,,"grierson-lsi1928[p. 10-11, form TORWALI-5_five-1, concept 5_five]",,,grierson-lsi1928:TORWALI-5_five-1,,,,
LSI-MAIYA,,pā̃z,Five,,pãːz,,"grierson-lsi1928[p. 10-11, form MAIYA-5_five-1, concept 5_five]",,,grierson-lsi1928:MAIYA-5_five-1,,,,
LSI-GYPSYEUROPEAN,,pǎnch,Five,,pæn̪tʃ,,"grierson-lsi1928[p. 10-11, form GYPSYEUROPEAN-5_five-1, concept 5_five]",,,grierson-lsi1928:GYPSYEUROPEAN-5_five-1,,,,
