Badaga,d1,a-,"that one; remote demonstrative (in space, time or context)",,,,"hockings-pilotraichoor1992[p. 3, col. 1]",,Hockings and Pilot-Raichoor cite DEDR 1,hockings-pilotraichoor1992:p3:c1:y0111,,,,demonstrative
Badaga,d23,akkana ma:ti,"nephew, elder sisters son",,,,"hockings-pilotraichoor1992[p. 4, col. 2]",,"Hockings and Pilot-Raichoor cite DEDR 23, 4616",hockings-pilotraichoor1992:p4:c2:y0096,,,,noun uncertain
Badaga,d4616,akkana ma:ti,"nephew, elder sisters son",,,,"hockings-pilotraichoor1992[p. 4, col. 2]",,"Hockings and Pilot-Raichoor cite DEDR 23, 4616",hockings-pilotraichoor1992:p4:c2:y0096:link:2,,,,noun uncertain
Badaga,d23,akkana heṇṇu,"niece, elder sister’s daughter",,,,"hockings-pilotraichoor1992[p. 4, col. 2]",,"Hockings and Pilot-Raichoor cite DEDR 23, 4395",hockings-pilotraichoor1992:p4:c2:y0119,,,,noun uncertain
Badaga,d4395,akkana heṇṇu,"niece, elder sister’s daughter",,,,"hockings-pilotraichoor1992[p. 4, col. 2]",,"Hockings and Pilot-Raichoor cite DEDR 23, 4395",hockings-pilotraichoor1992:p4:c2:y0119:link:2,,,,noun uncertain
Badaga,,akka bakka,"ceremonial structure of wood or stone pillars to mark the approach to the head village of a commune. (Without these nearby structures the village is not the head of a commune, u:r; there are 32 on the Nilgiri plateau, but none in Wainad Gauda villages; according to folklore Hakka and Bakka were the names of two Odeya chiefs of the Middle Ages who drove out the Moslem invaders in Southern Karnataka early in the Vijayanagar period, for which reason they are still worshipped by the Badagas; those villages having akka bakka are so indicated in this dictionary and in Appendix A; akka, ajju gu:du, bakka, and the South of India Observer, Feb. 13, 1926; < akka+tbakka, ‘set apart+ place’, or else < hakku bakku",,,,"hockings-pilotraichoor1992[p. 4, col. 2]",,,hockings-pilotraichoor1992:p4:c2:y0141,,,,noun uncertain
Badaga,d23,akkamma,a good woman and spinster; 1. a disciple of Bassavanna ; 2. female name,,,,"hockings-pilotraichoor1992[p. 4, col. 2]",,"(q.v.); Hockings and Pilot-Raichoor cite DEDR 23, 183",hockings-pilotraichoor1992:p4:c2:y0399,,,,noun proper-noun uncertain
Badaga,d183,akkamma,a good woman and spinster; 1. a disciple of Bassavanna ; 2. female name,,,,"hockings-pilotraichoor1992[p. 4, col. 2]",,"(q.v.); Hockings and Pilot-Raichoor cite DEDR 23, 183",hockings-pilotraichoor1992:p4:c2:y0399:link:2,,,,noun proper-noun uncertain
Badaga,d23,akka:lu,sisterly woman; female name (mainly used by Lingayats),,,,"hockings-pilotraichoor1992[p. 4, col. 2]",,Hockings and Pilot-Raichoor cite DEDR 23,hockings-pilotraichoor1992:p4:c2:y0443,,,,noun proper-noun uncertain
Badaga,d215,akki,"1. rice, husked rice (Oryza sativa), 2. millet grain",,,,"hockings-pilotraichoor1992[p. 4, col. 2]",,(Krishnamurthi 1953: 193-94); Hockings and Pilot-Raichoor cite DEDR 215,hockings-pilotraichoor1992:p4:c2:y0475,,,,noun uncertain
Badaga,,akki,"bird, avifauna DBIA 233b",,,,"hockings-pilotraichoor1992[p. 4, col. 2]",,(Francis 1908:77-83; Baker & Inglis 1930: passim; Whistler 1935: passim; Ali 1949: passim; 1969: passim; Hawkins 1986: passim),hockings-pilotraichoor1992:p4:c2:y0537,,,,noun uncertain alternate
Badaga,,akkilu,"bird, avifauna DBIA 233b",,,,"hockings-pilotraichoor1992[p. 4, col. 2]",,Printed alternate of akki,hockings-pilotraichoor1992:p4:c2:y0537:variant:1,hockings-pilotraichoor1992:p4:c2:y0537,,,noun uncertain alternate
Badaga,,hakki,"bird, avifauna DBIA 233b",,,,"hockings-pilotraichoor1992[p. 4, col. 2]",,Printed alternate of akki,hockings-pilotraichoor1992:p4:c2:y0537:variant:2,hockings-pilotraichoor1992:p4:c2:y0537,,,noun uncertain alternate
Badaga,,hakkilu,"bird, avifauna DBIA 233b",,,,"hockings-pilotraichoor1992[p. 4, col. 2]",,Printed alternate of akki,hockings-pilotraichoor1992:p4:c2:y0537:variant:3,hockings-pilotraichoor1992:p4:c2:y0537,,,noun uncertain alternate
Badaga,d215,akki ganje,"barley, bearded barley, bearded wheat, six-rowed naked barley, spiked barley, tail wheat (Hordeum sativum, Hooker 1872-97: VII, 371; Macleane 1893: 395; Watt 1908: 640-44; Krishnamurthi 1953: 195; Maharashtra 1953: 117; Gamble & Fischer 1956-57: 1284, < akki+ganje",,,,"hockings-pilotraichoor1992[p. 5, col. 1]",,"Hockings and Pilot-Raichoor cite DEDR 215, 1107, 796",hockings-pilotraichoor1992:p5:c1:y0096,,,,noun
