Tulu,d485,irippe,olive tree,,,source label: B-K,"burrow-emeneau1972den1[p. 400, entry 410]",,DEN I (1972) records this reflex under old main 410; resolved to current DEDR d485.,burrow-emeneau1972den1:p400:u052:f001,,,,source-addition
Tulu,d485,ippe,olive tree,,,source label: B-K; =,"burrow-emeneau1972den1[p. 400, entry 410]",,DEN I (1972) records this variant under old main 410; resolved to current DEDR d485.,burrow-emeneau1972den1:p400:u052:f002,,,,source-addition variant
Tamil,d489,irumu (irumi-),to cough; cough,,,verb; noun,"burrow-emeneau1972den1[p. 400, entry 414]",,DEN I (1972) records this reflex under old main 414; resolved to current DEDR d489.,burrow-emeneau1972den1:p400:u053:f001,,,,source-addition
maria,d495,lēki,silk-cotton tree,,,source label: Ma.; Voc. 3126,"burrow-emeneau1972den1[p. 400, entry 421]",,DEN I (1972) records this reflex under old main 421; resolved to current DEDR d495.,burrow-emeneau1972den1:p400:u054:f001,,,,source-addition
Gondi,d495,lèkee,silk-cotton tree,,,source label: LuS.; id.,"burrow-emeneau1972den1[p. 400, entry 421]",,DEN I (1972) records this variant under old main 421; resolved to current DEDR d495.,burrow-emeneau1972den1:p400:u054:f002,,,,source-addition variant
Telugu,d502,digudala,"descending, descent, decline, a lower region or part",,,,"burrow-emeneau1972den1[p. 400, entry 426]",,DEN I (1972) records this reflex under old main 426; resolved to current DEDR d502.,burrow-emeneau1972den1:p400:u055:f002,,,,source-addition
Telugu,d502,digumati,"disembarkation, unshipment",,,,"burrow-emeneau1972den1[p. 400, entry 426]",,DEN I (1972) records this reflex under old main 426; resolved to current DEDR d502.,burrow-emeneau1972den1:p400:u055:f003,,,,source-addition
Tulu,d506,ile,"a fiber, thread",,,source label: B-K,"burrow-emeneau1972den1[p. 400, entry 429]",,DEN I (1972) records this reflex under old main 429; resolved to current DEDR d506.,burrow-emeneau1972den1:p400:u056:f001,,,,source-addition
Tulu,d506,eḷe,"a fiber, thread",,,source label: B-K,"burrow-emeneau1972den1[p. 400, entry 429]",,DEN I (1972) records this variant under old main 429; resolved to current DEDR d506.,burrow-emeneau1972den1:p400:u056:f002,,,,source-addition variant
tiyya,d512,iḷusan,a loafer,,,source label: Tiyya,"burrow-emeneau1972den1[p. 400, entry 435]",,DEN I (1972) records this reflex under old main 435; resolved to current DEDR d512.,burrow-emeneau1972den1:p400:u057:f001,,,,source-addition
Tulu,d513,lambu,tender,,,,"burrow-emeneau1972den1[p. 400, entry 436]",,DEN I (1972) records this reflex under old main 436; resolved to current DEDR d513.,burrow-emeneau1972den1:p400:u058:f001,,,,source-addition
Tulu,d513,lambè,a tender fruit,,,,"burrow-emeneau1972den1[p. 400, entry 436]",,DEN I (1972) records this derived under old main 436; resolved to current DEDR d513.,burrow-emeneau1972den1:p400:u058:f002,,,,source-addition derived
Telugu,d513,lēma,a woman; tender,,,,"burrow-emeneau1972den1[p. 400, entry 436]",,DEN I (1972) records this reflex under old main 436; resolved to current DEDR d513.,burrow-emeneau1972den1:p400:u058:f003,,,,source-addition
adil,d513,lehmī,youth,,,source label: SR,"burrow-emeneau1972den1[p. 400, entry 436]",,DEN I (1972) records this reflex under old main 436; resolved to current DEDR d513.,burrow-emeneau1972den1:p400:u058:f004,,,,source-addition
Tulu,d516,ekkuni,"to ebb, decline",,,verb,"burrow-emeneau1972den1[p. 400, entry 439]",,DEN I (1972) records this reflex under old main 439; resolved to current DEDR d516.,burrow-emeneau1972den1:p400:u059:f001,,,,source-addition
halakki,d518,ēri,empty beehive,,,source label: Hal.,"burrow-emeneau1972den1[p. 400, entry 441]",,DEN I (1972) records this reflex under old main 441; resolved to current DEDR d518.,burrow-emeneau1972den1:p400:u060:f001,,,,source-addition
Kannada,d518,irḷe,honeycomb,,,"source label: Jenu Kuruba, LSB 4.12","burrow-emeneau1972den1[p. 400, entry 441]",,DEN I (1972) records this reflex under old main 441; resolved to current DEDR d518.,burrow-emeneau1972den1:p400:u060:f002,,,,source-addition
tiyya,d522,iṟṟu,a drop,,,source label: Tiyya,"burrow-emeneau1972den1[p. 400, entry 445]",,DEN I (1972) records this reflex under old main 445; resolved to current DEDR d522.,burrow-emeneau1972den1:p400:u061:f001,,,,source-addition
tiyya,d522,iṟṟuva,to trickle,,,source label: Tiyya; verb,"burrow-emeneau1972den1[p. 400, entry 445]",,DEN I (1972) records this derived under old main 445; resolved to current DEDR d522.,burrow-emeneau1972den1:p400:u061:f002,,,,source-addition derived
Kannada,d522,ibbani,"fog, mist, dew",,,,"burrow-emeneau1972den1[p. 400, entry 445]",,DEN I (1972) records this reflex under old main 445; resolved to current DEDR d522.,burrow-emeneau1972den1:p400:u061:f003,,,,source-addition
tiptur,d522,ircilu,fine drops of rain,,,"source label: Tiptur, LSB 18.16","burrow-emeneau1972den1[p. 400, entry 445]",,DEN I (1972) records this reflex under old main 445; resolved to current DEDR d522.,burrow-emeneau1972den1:p400:u061:f004,,,,source-addition
adil,d522,ir-,to ooze,,,source label: A Su.; verb,"burrow-emeneau1972den1[p. 400, entry 445]",,DEN I (1972) records this reflex under old main 445; resolved to current DEDR d522.,burrow-emeneau1972den1:p400:u061:f005,,,,source-addition
tiyya,d530,inippu,sweetness,,,source label: Tiyya; noun,"burrow-emeneau1972den1[p. 401, entry 451(a)]",,DEN I (1972) records this reflex under old main 451; resolved to current DEDR d530.,burrow-emeneau1972den1:p401:u001:f002,,,,source-addition
Tamil,d533,īccai,fly,,,"source label: dial.; Andronov, p. 65; noun","burrow-emeneau1972den1[p. 401, entry 453]",,DEN I (1972) records this reflex under old main 453; resolved to current DEDR d533.,burrow-emeneau1972den1:p401:u002:f001,,,,source-addition
Tulu,d533,ippi,"eggs laid by a fly, usually on ulcers",,,source label: B-K; noun,"burrow-emeneau1972den1[p. 401, entry 453]",,DEN I (1972) records this reflex under old main 453; resolved to current DEDR d533.,burrow-emeneau1972den1:p401:u002:f002,,,,source-addition
Konda,d534,īŋka,pubic hair,,,noun,"burrow-emeneau1972den1[p. 401, entry 454]",,DEN I (1972) records this reflex under old main 454; resolved to current DEDR d534.,burrow-emeneau1972den1:p401:u003:f001,,,,source-addition
