Pr,n3017,kuṭúg,numeral classifier for words; full stop (in writing); word substituted for taboo words,,,,"nured[page 231, revision 3262, 2026-01-30]",,,nured:231:form:4,,,,noun dialect:Pr:nured-Pr-p:Wu%E1%B9%A3%C7%98t%20%28Pa%E1%B9%A3k%C3%AD%29
Wg,nured-239,karmǘṭ,"ear, auricle",,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:1,,,,noun dialect:Wg:nured-Wg-z:%E1%BA%92%C3%B6n%C4%8Digal%20%28Arans%29 dialect:Wg:nured-Wg-n:Ni%C5%A1eygr%C4%81m
Kt,nured-239,muṭë́/-í,short,,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:2,,,,adj dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB
Kt,nured-239,muṛë́/-í,short,,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:3,,,,adj dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Pr,nured-239,müčóg,short,,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:4,,,,adj dialect:Pr:nured-Pr-p:Wu%E1%B9%A3%C7%98t%20%28Pa%E1%B9%A3k%C3%AD%29 dialect:Pr:nured-Pr-k:Ka%E1%B8%8D%C3%A1r%20%28Ka%E1%B9%AD%C4%81r%29 loanword
Kt,nured-239,muṭë́,large log; ancestor effigy (or idol) carved from a log,,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:5,,,,noun m dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB
Kt,nured-239,mëṭúk,small log,,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:6,,,,noun m dialect:Kt:nured-Kt-w:Western%20Kat%C3%AB
Kt,nured-239,muṛúk,log,,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:7,,,,noun m dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Wg,nured-239,muṭá,bush,,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:8,,,,noun dialect:Wg:nured-Wg-n:Ni%C5%A1eygr%C4%81m
Ash,nured-239,moṭë́,newly sprouted nonwoody plant,,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:9,,,,noun dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29
Ash,nured-239,muṭúk,tree stump,,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:10,,,,noun dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29
Pr,nured-239,müčǘ,"large tree stump, block of wood; wooden idol",,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:11,,,,noun dialect:Pr:nured-Pr-p:Wu%E1%B9%A3%C7%98t%20%28Pa%E1%B9%A3k%C3%AD%29 loanword
Kt,nured-239,karmë́ṛi,"ear, auricle",,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:12,,,,noun m dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Ash,nured-239,karmuṭë́,"ear, auricle",,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:13,,,,noun dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29
Kt,nured-239,muṛǘr,"without branches, worn down",,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:14,,,,adj dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Wg,nured-239,kār-muṭurá,"ear, auricle",,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:15,,,,noun dialect:Wg:nured-Wg-n:Ni%C5%A1eygr%C4%81m
Kt,nured-239,mëṭó,"dull, blunt",,,,"nured[page 239, revision 3727, 2026-08-04]",,,nured:239:form:16,,,,adj dialect:Kt:nured-Kt-w:Western%20Kat%C3%AB
Kt,n2997,kor,ear; tuning peg (of string instrument),,,,"nured[page 244, revision 3314, 2026-02-02]",,,nured:244:form:1,,,,noun m dialect:Kt:nured-Kt-w:Western%20Kat%C3%AB dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Wg,n2997,kār,"ear; tuning peg (of string instrument); corner, side, bank, edge",,,,"nured[page 244, revision 3314, 2026-02-02]",,,nured:244:form:2,,,,noun dialect:Wg:nured-Wg-z:%E1%BA%92%C3%B6n%C4%8Digal%20%28Arans%29 dialect:Wg:nured-Wg-n:Ni%C5%A1eygr%C4%81m
Gmb,n2997,kār,ear,,,,"nured[page 244, revision 3314, 2026-02-02]",,,nured:244:form:3,,,,noun dialect:Gmb:nured-Gmb-gm:Gimir%C3%AD%20%28Gamb%C4%ABr%29
Ash,n2997,kār,ear; slope,,,,"nured[page 244, revision 3314, 2026-02-02]",,,nured:244:form:4,,,,noun dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29
Dm,n2997,kār,ear,,,,"nured[page 244, revision 3314, 2026-02-02]",,,nured:244:form:5,,,,noun
Kt,n2997,naskór,"face, cheek",,,,"nured[page 244, revision 3314, 2026-02-02]",,,nured:244:form:6,,,,noun m dialect:Kt:nured-Kt-w:Western%20Kat%C3%AB dialect:Kt:nured-Kt-kt:Kt%C3%ADvi%20%28Kantiw%C4%81%29 dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Wg,n2997,naskā́r,nose and ears; beauty,,,,"nured[page 244, revision 3314, 2026-02-02]",,,nured:244:form:7,,,,noun dialect:Wg:nured-Wg-z:%E1%BA%92%C3%B6n%C4%8Digal%20%28Arans%29
Pr,n2997,nëskā̆́r,face (of humans or animals),,,,"nured[page 244, revision 3314, 2026-02-02]",,,nured:244:form:8,,,,noun loanword
Pr,n2997,nëskróg kudóg,jawbone,,,,"nured[page 244, revision 3314, 2026-02-02]",,,nured:244:form:9,,,,noun multiword-expression
Pr,n2997,nëskër-,to snore,,,,"nured[page 244, revision 3314, 2026-02-02]",,,nured:244:form:10,,,,verb
Kt,n932,virí,"word(s), speech, language, matter, story, thing, affair",,,,"nured[page 250, revision 1950, 2025-10-19]",,,nured:250:form:1,,,,noun m dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Ash,n932,werí,"word(s), speech, language, matter, story, thing, affair",,,,"nured[page 250, revision 1950, 2025-10-19]",,,nured:250:form:2,,,,noun dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29
Ash,n932,wēri,"word(s), speech, language, matter, story, thing, affair",,,,"nured[page 250, revision 1950, 2025-10-19]",,,nured:250:form:2:alt:2,nured:250:form:2,,,noun dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29 alternate
Ash,n932,wīrí,"word(s), speech, language, matter, story, thing, affair",,,,"nured[page 250, revision 1950, 2025-10-19]",,,nured:250:form:2:alt:3,nured:250:form:2,,,noun dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29 alternate
Pr,n932,wërí,"word(s), speech, language, thing",,,,"nured[page 250, revision 1950, 2025-10-19]",,,nured:250:form:3,,,,noun m loanword
